Endereço;Complemento;Cidade;Estado;CódigoPostal;Name;Telefone;Bairro;Região OP;URL;Tipo;Categoria;Latitude;Longitude;Endereço Formatado
Rua A. Tamandaré, 678;102;Porto Alegre;RS;90220-030;Associação Cultural Italia-Porto Alegre Onlus;(51)9334-9987;Floresta;CENTRO;http://www.italia-portoalegre.eu;ESPAÇO DE FORMAÇÃO CULTURAL;Cultura italiana;-30,058488908578;-51,165435668186;Rua Almirante Tamandaré, 678 - Floresta, Porto Alegre - RS, 90220-030, República Federativa do Brasil
Rua Albion, 385;;Porto Alegre;RS;91530-010;Museu Itinerante Memória Carris;(51)3289-2143;Partenon;PARTENON;www.carris.com.br;ESPAÇO CULTURAL;;-30,030795539369;-51,228473130474;Rua Albion, 385 - Partenon, Porto Alegre - RS, 91530-010, República Federativa do Brasil
Rua Andrade Neves, 100; CJ 301/302;Porto Alegre;RS;90010-210;Fundação Teixeirinha;(51)3225-3575;Centro Historico;CENTRO;http://www.teixeirinha.com.br/fundacao.asp;ESPAÇO DE FORMAÇÃO CULTURAL;arquivo, leitura, música, audiovisual;-30,153235369671;-51,145213116292;Rua General Andrade Neves, 100 - Centro, Porto Alegre - RS, 90010-210, República Federativa do Brasil
Rua André Puente, 318;;Porto Alegre;RS;90035-150;Instituto Estadual do Livro;(51)3311-7311;Independencia;CENTRO;;ESPAÇO DE FORMAÇÃO CULTURAL;livro;-30,028099952818;-51,210789036884;Rua André Puente, 318 Porto Alegre, RS 90035-150
Rua Antônio Rocha Meirelles Leite, 50;;Porto Alegre;RS;91790-150;Biblioteca Municipal da Restinga;(51)3245-1334;Restinga;RESTINGA;http://www2.portoalegre.rs.gov.br/smc/default.php?reg=4&p_secao=55;ESPAÇO CULTURAL;LITERATURA;-30,071671873078;-51,227441261321;Rua Antônio Rocha Meirelles Leite - Restinga, Porto Alegre - RS, 91790-150, República Federativa do Brasil
Rua Ariovaldo Alvez Paz, 200;;Porto Alegre;RS;91180-515;AECPARS Associação Entidades Carnavalescas de Porto Alegre e do Rio Grande do Sul;(51)3348-9202;Rubem Berta;EIXO BALTAZAR;http://www.carnavalpoa.com.br/;ESPAÇO DE FORMAÇÃO CULTURAL;Carnaval;-30,029838105459;-51,229040800201;Rua Ariovaldo Alves Paz, 200 - Rubem Berta, Porto Alegre - RS, 91180-515, República Federativa do Brasil
Rua Banco da Província, 105;;Porto Alegre;RS;90840-030;Museu de Geologia da Companhia de Pesquisas e Recursos Minerais  CPRM;(51)3406-7300;Santa Tereza;CRUZEIRO;http://www.cprm.gov.br/museudegeologia;ESPAÇO CULTURAL;;-30,009253303513;-51,188534425185;Rua Banco da Província, 105 - Santa Tereza, Porto Alegre - RS, 90840-030, República Federativa do Brasil
Rua Barão de Cotegipe, 400;;Porto Alegre;RS;90540-020;Memorial Sogipa;(51)3325-7239;Sao Joao;NOROESTE;www.sogipa.esp.br;ESPAÇO CULTURAL;;-30,009283549533;-51,188517878237;Rua Barão do Cotegipe, 400 - São João, Porto Alegre - RS, 90540-020, República Federativa do Brasil
Rua Barão de Cotegipe, 415;;Porto Alegre;RS;90540-020;Anfiteatro do Sogipa;(51)3325-7270;Sao Joao;NOROESTE;http://www.sogipa.com;ESPAÇO CULTURAL;;-30,009285928016;-51,188518078824;Rua Barão do Cotegipe, 415 - São João, Porto Alegre - RS, 90540-020, República Federativa do Brasil
Rua Barão de Cotegipe, 415;;Porto Alegre;RS;90540-020;Biblioteca J.Aloys Friederichs SOGIPA;(51)3325-7276;Sao Joao;NOROESTE;http://www.sogipa.com/2010/biblioteca.php;ESPAÇO DE FORMAÇÃO CULTURAL;livro, leitura, ;-30,058773737982;-51,219775583924;Rua Barão de Cotegipe, 415 Porto Alegre, RS 90540-020
Rua Barão de Teffé, 129;;Porto Alegre;RS;90160-150;Espaço Engenho e Arte;(51)3235-2357;Menino Deus;CENTRO;;ESPAÇO DE FORMAÇÃO CULTURAL;livro, leitura;-30,098386642101;-51,255979024761;Rua Barão de Teffe, 129 - Menino Deus, Porto Alegre - RS, 90160-150, República Federativa do Brasil
Rua Barão de Tramandaí, 569;;Porto Alegre;RS;91030-380;Emporion de Arte;(51)3248-9601;Passo Dareia;NOROESTE;;ESPAÇO CULTURAL;;-30,043313002401;-51,229804989755;Rua Barão de Tramandaí, 569 - Passo da Areia, Porto Alegre - RS, 91030-380, República Federativa do Brasil
Rua Bororó, 21;;Porto Alegre;RS;91900-540;Biblioteca Comunitária Bororó;;Vila Assuncao;SUL;;ESPAÇO DE FORMAÇÃO CULTURAL;livro, leitura,  teatro, fotografia, dança;-30,019393251604;-51,205479367623;Rua Bororó, 21 - Vila Assunção, Porto Alegre - RS, 91900-540, República Federativa do Brasil
Rua Câncio Gomes, 786;;Porto Alegre;RS;90220-060;Lígia Meurer ;(51)3222-4219;Floresta;CENTRO;http://www.bibliotecapublica.rs.gov.br/;ESPAÇO DE FORMAÇÃO CULTURAL;livro, leitura,;-30,036770939838;-51,171500132186;Rua Câncio Gomes, 786 - Floresta, Porto Alegre - RS, 90220-060, República Federativa do Brasil
Rua Carazinho, 330;;Porto Alegre;RS;90460-190;Vertente  Espaço de Arte;(51)3333-3372;Petropolis;CENTRO;;ESPAÇO CULTURAL;;-30,040183799832;-51,183804471781;Rua Carazinho, 330 Porto Alegre, RS 90460-190
Rua Carlos Huber, 425;;Porto Alegre;RS;91330-150;Memorial “Do Deustcher Hilfsrerein ao Colégio Farroupilha”;(51)3382-1875;Tres Figueiras;LESTE;;ESPAÇO CULTURAL;;-30,030198533823;-51,209382552101;Rua Carlos Huber, 425 - Três Figueiras, Porto Alegre - RS, 91330-150, República Federativa do Brasil
Rua Carlos Legori, 32;;Porto Alegre;RS;91340-150;Adágio Escola de Música;(51)3361-3750;Passo Dareia;NOROESTE;;ESPAÇO DE FORMAÇÃO CULTURAL;música;-30,020277311813;-51,169683428074;Rua Carlos Legori, 32 Porto Alegre, RS 91340-150
Rua Castro Alves, 101;;Porto Alegre;RS;90430-130;Galeria Marisa Soibelmann Espaço de Cultura e Arte;(51)3311-8390;Independencia;CENTRO;;ESPAÇO CULTURAL;;-30,034744335971;-51,235674445201;Rua Castro Alves, 101 - Independência, Porto Alegre - RS, 90430-130, República Federativa do Brasil
Rua Cel Paulino Teixeira, 35;;Porto Alegre;RS;90420-160;Galeria Tina Zapponi;(51)3332-3726;Rio Branco;CENTRO;http://www.brasilartegaleria.com.br/;ESPAÇO CULTURAL;fotografia, artes visuais;-30,034070208671;-51,203188428142;Rua Cel Paulino Teixeira, 35 Porto Alegre, RS 90420-160
Rua Cel. Fernando Machado, 195;;Porto Alegre;RS;90010-320;Jabutipê;(51)9196-4860;Centro Historico;CENTRO;http://www.jabutipe.com.br/;ESPAÇO CULTURAL;;-30,021829124244;-51,199720418737;Rua Coronel Fernando Machado, 195 - Centro, Porto Alegre - RS, 90010-320, República Federativa do Brasil
Rua Cel. Joaquim Pedro Salgado, 80;;Porto Alegre;RS;90420-060;Ipa Metodista;(51)3316-1100;Rio Branco;CENTRO;www.metodistadosul.com.br;ESPAÇO DE FORMAÇÃO CULTURAL;música;-30,034642208714;-51,198714703502;Rua Cel. Joaquim Pedro Salgado, 80 Porto Alegre, RS 90420-060
Rua Cel. Joaquim Pedro Salgado, 80;;Porto Alegre;RS;90420-060;Bibilioteca do Ipa Guilherme Mylius Central;(51)3316-1346;Rio Branco;CENTRO;http://www.metodistadosul.edu.br/bibliotecas/;ESPAÇO DE FORMAÇÃO CULTURAL;livro;-30,034640324205;-51,198719983323;Rua Cel. Joaquim Pedro Salgado, 80 Porto Alegre, RS 90420-060
Rua Comendador Caminha,  sn;;Porto Alegre;RS;90570-041;Biblioteca Ecológica Infantil Maria Dinorah;(51)3289-8311;Moinhos de Vento;CENTRO;http://www2.portoalegre.rs.gov.br/smam/default.php?p_secao=211;ESPAÇO DE FORMAÇÃO CULTURAL;livro, leitura;-30,000296779798;-51,20223552142;Porto Alegre - RS, 90570-041, República Federativa do Brasil
Rua Comendador Tavares, 360;;Porto Alegre;RS;90230-020;Museu Dr. José Faibes Lubianca / Polícia Civil;(51)3288-9312;Navegantes;HUMAITA/NAVEGANTES;www.pc.rs.gov.br/acadepol/museu.html;ESPAÇO CULTURAL;;-30,035083342204;-51,2265831328;Rua Comendador Tavares, 360 - Navegantes, Porto Alegre - RS, 90230-020, República Federativa do Brasil
Rua Coronel Bordini, 1665;;Porto Alegre;RS;90440-003;Galeria de Artes Edelweiss;(51)3029-6474;Rio Branco;CENTRO;;ESPAÇO CULTURAL;;-30,032876314863;-51,195913566359;Rua Coronel Bordini, 1665 Porto Alegre, RS 90440-003
Rua Coronel Bordini, 907;;Porto Alegre;RS;90440-003;Sala de Arte;(51)3330-4763;Moinhos de Vento;CENTRO;http://www.saladearte.com.br/;ESPAÇO CULTURAL;;-30,025958970673;-51,196435085825;Rua Coronel Bordini, 907 Porto Alegre, RS 90440-003
Rua Coronel Bordini, 907;;Porto Alegre;RS;90440-003;Galeria Belas Artes;(51)3388-2915;Moinhos de Vento;CENTRO;http://www.galeriabelasartes.com.br;ESPAÇO CULTURAL;;-30,025958822339;-51,196435015678;Rua Coronel Bordini, 907 Porto Alegre, RS 90440-003
Rua Coronel Bordini, 907;;Porto Alegre;RS;90440-004;Roberta Karam;(51)3388-6309;Moinhos de Vento;CENTRO;http://www.robertakaram.com.br/galeria.htm;ESPAÇO CULTURAL;;-30,02595850996;-51,19642839703;Rua Coronel Bordini, 907 Porto Alegre, RS 90440-004
Rua Coronel Bordini, 917;;Porto Alegre;RS;90440-003;Galeria Esculturas;(51)3388-6309;Moinhos de Vento;CENTRO;;ESPAÇO CULTURAL;;-30,026057493414;-51,196422694212;Rua Coronel Bordini, 917 Porto Alegre, RS 90440-003
Rua Coronel Bordini, 920;;Porto Alegre;RS;90440-001;Casa Arte Canoas;(51)3013-1529;Moinhos de Vento;CENTRO;http://www.casaartecanoas.com.br/web/principal.php;ESPAÇO CULTURAL;artes visuais;-30,026060838112;-51,196380236093;Rua Coronel Bordini, 920 Porto Alegre, RS 90440-001
Rua Coronel Corte Real, 647;;Porto Alegre;RS;90630-080;Gravura;(51)3333-1946;Petropolis;CENTRO;http://www.gravuragaleria.com.br;ESPAÇO CULTURAL;;-30,046220214491;-51,194745833992;Rua Coronel Corte Real, 647 Porto Alegre, RS 90630-080
Rua Coronel Corte Real, 687;301;Porto Alegre;RS;90630-080;Cezar Prestes Artte;(51)3330-3577;Petropolis;CENTRO;;ESPAÇO CULTURAL;;-30,045680179355;-51,194466429385;Rua Coronel Corte Real, 687 - Petrópolis, Porto Alegre - RS, 90630-080, República Federativa do Brasil
Rua Coronel Genuíno, 130;;Porto Alegre;RS;90010-350;Auditório Waldemar Fontes  FATECSenac RS;(51)3228-1044;Centro Historico;CENTRO;http://portal.senacrs.com.br/site/index.asp;ESPAÇO CULTURAL;;-30,035079724779;-51,226581514699;Rua Coronel Genuíno, 130 - Centro, Porto Alegre - RS, 90010-350, República Federativa do Brasil
Rua Coronel Genuíno, 130; 2º andar;Porto Alegre;RS;90010-350;Biblioteca FATEC Senac RS;(51)3022-9454;Centro Historico;CENTRO;http://portal.senacrs.com.br/site/pdf/FATEC_POA.pdf;ESPAÇO DE FORMAÇÃO CULTURAL;livro, leitura, ;-30,036875842117;-51,228060814886;Rua Coronel Genuíno, 130 Porto Alegre, RS 90010-350
Rua Coronel Genuíno, 358; 7º andar;Porto Alegre;RS;90010-350;Biblioteca Senac RS;(51)3212-4444;Centro Historico;CENTRO;http://portal.senacrs.com.br/site/pdf/FACAD.pdf;ESPAÇO DE FORMAÇÃO CULTURAL;livro, leitura, ;-30,027985951668;-51,220866762441;Rua Coronel Genuíno, 358 - Centro, Porto Alegre - RS, 90010-350, República Federativa do Brasil
Rua Coronel Vicente, 520; Ap 2;Porto Alegre;RS;90030-041;Associação Cívico Cultural Minuano ;(51)3224-4235;Centro Historico;CENTRO;;ESPAÇO DE FORMAÇÃO CULTURAL;;-30,026653225656;-51,219270011275;Rua Coronel Vicente, 520 - Centro, Porto Alegre - RS, 90030-041, República Federativa do Brasil
Rua da Conceição, 346;;Porto Alegre;RS;90030-030;Museu do Som;(51)3225-9077;Floresta;CENTRO;http://www.museudosom.com.br/;ESPAÇO CULTURAL;;-30,037270859465;-51,221681735181;Rua da Conceição, 346 - Floresta, Porto Alegre - RS, 90030-030, República Federativa do Brasil
Rua da República, 139;;Porto Alegre;RS;90050-320;Casa de Artes Baka;(51)3226-3052;Cidade Baixa;CENTRO;;ESPAÇO DE FORMAÇÃO CULTURAL;música;-30,027843567619;-51,205878652706;Rua da República, 139 - Cidade Baixa, Porto Alegre - RS, 90050-320, República Federativa do Brasil
Rua da República, 163;;Porto Alegre;RS;90050-320;Entreato Pub;(51)3019-3813;Cidade Baixa;CENTRO; http://www.entreato.com.br/ ;ESPAÇO CULTURAL;fotografia;-30,038783336304;-51,223804626547;Rua da República, 163 - Cidade Baixa, Porto Alegre - RS, 90050-320, República Federativa do Brasil
Rua da República, 409;;Porto Alegre;RS;90050-320;Pinacoteca Café;(51)9293-2506;Cidade Baixa;CENTRO;;ESPAÇO CULTURAL;;-30,039692844859;-51,225075153967;Rua da República, 409 - Cidade Baixa, Porto Alegre - RS, 90050-320, República Federativa do Brasil
